Date,Stores - Predominantly Food Stores Total,Stores -Textile Clothing and Footwear Stores Total,Stores - Retail Sale of Textiles,Stores - Retail Sale of Clothing,Stores - Footwear and Leather Goods,Stores - Books Newspapers and Stationery
2008JAN,10881262,2911726,67682,2529121,314923,360176
2008FEB,9200722,2346267,50914,2065039,230314,323222
2008MAR,11568214,3081320,68406,2714443,298471,368638
2008APR,9303545,2510686,58068,2184468,268150,277197
2008MAY,9698868,2915297,48018,2556726,310553,266864
2008JUN,12019525,3342353,64302,2903628,374423,368223
2008JUL,9550297,2835648,55275,2473120,307253,298311
2008AUG,9447650,2750858,51408,2355177,344273,305808
2008SEP,11754746,3410387,72854,2962747,374786,418964
2008OCT,9605328,2882874,59442,2524948,298484,340252
2008NOV,10103843,3136261,51915,2786521,297825,381815
2008DEC,13608621,5120683,62262,4570138,488283,670258
2009JAN,9188785,2397557,64479,2075669,257409,327844
2009FEB,9639058,2251864,62017,1953678,236169,340279
2009MAR,12204932,3096693,56121,2732060,308512,414988
2009APR,10028253,2675709,48014,2307902,319793,316415
2009MAY,10034164,2640762,52993,2288831,298938,298436
2009JUN,12816954,3443099,63028,2999379,380692,382463
2009JUL,9985792,2867645,53882,2508872,304891,307775
2009AUG,9921906,2634845,49017,2270290,315538,307991
2009SEP,12213008,3390309,62768,2961569,365972,411729
2009OCT,9874692,2938839,60205,2564133,314501,354054
2009NOV,10401511,3094784,54928,2741904,297952,401684
2009DEC,14395551,5104750,58430,4580481,465839,721120
2010JAN,9392554,2417135,49071,2111588,256476,292223
2010FEB,9608616,2401140,49628,2112344,239168,315499
2010MAR,12500721,3235684,62373,2858244,315067,384997
2010APR,9804034,2810995,51231,2455240,304524,267746
2010MAY,10208096,2774749,50642,2425888,298219,269808
2010JUN,12918195,3548444,63396,3093858,391190,347980
2010JUL,10074182,2957786,55632,2572195,329959,287963
2010AUG,9918294,2758068,55066,2363917,339085,295519
2010SEP,12296651,3594643,67028,3110096,417519,385891
2010OCT,10017376,3067210,62069,2667162,337979,315656
2010NOV,10688623,3272914,69103,2869306,334505,367971
2010DEC,14643002,5237952,77951,4635767,524234,671087
2011JAN,9536966,2499733,48805,2176974,273954,297484
2011FEB,9891029,2412273,43992,2130660,237621,309669
2011MAR,12634357,3189403,54511,2830362,304530,371607
2011APR,10773384,2947366,38863,2595082,313421,257349
2011MAY,10437962,2811605,39778,2478692,293135,270044
2011JUN,13139350,3619789,51566,3178753,389470,352777
2011JUL,10566341,3009761,43233,2634595,331933,290988
2011AUG,10466250,2768799,40536,2407833,320430,276845
2011SEP,13018803,3558950,51700,3109097,398153,373648
2011OCT,10563676,3049204,46064,2673960,329180,297841
2011NOV,11043659,3276621,50087,2895156,331378,360710
2011DEC,15736990,5666421,66336,5050677,549408,691600
2012JAN,9876119,2510589,44825,2179723,286041,289781
2012FEB,10314549,2407065,45242,2122276,239547,291650
2012MAR,13164240,3336471,52475,2949235,334761,374747
2012APR,10695544,2733227,40037,2390537,302653,283890
2012MAY,10795180,2781819,39831,2442401,299587,273777
2012JUN,13588105,3642425,50306,3199989,392130,359099
2012JUL,10802958,2968843,41150,2597946,329747,289903
2012AUG,10740777,2835096,44643,2442928,347525,262663
2012SEP,13329545,3715861,54579,3237910,423372,370336
2012OCT,10700899,3088844,49881,2681453,357510,312227
2012NOV,11251730,3246193,47968,2882607,315618,341102
2012DEC,15885980,5552625,61781,4954447,536397,668638
2013JAN,10069671,2507334,40429,2181238,285667,268092
2013FEB,10489719,2464250,44153,2165313,254784,282327
2013MAR,13770439,3193783,48279,2857526,287978,349644
2013APR,10538990,2673154,44312,2353014,275828,237927
2013MAY,11126601,2840228,43519,2518226,278483,240808
2013JUN,13941389,3727720,56838,3310271,360611,333066
2013JUL,11432139,3014843,45279,2668607,300957,240381
2013AUG,11015050,2902992,48483,2512009,342500,260235
2013SEP,13629285,3797989,51820,3332352,413817,364459
2013OCT,11006485,3090890,47435,2709898,333557,291879
2013NOV,11554689,3366243,49344,2992308,324591,328700
2013DEC,16354417,5733337,69160,5095909,568268,642808
2014JAN,13005878,3123186,46318,2749375,327493,292032
2014FEB,10772295,2385198,42709,2104929,237560,254700
2014MAR,13535342,3370732,57723,2981317,331692,320034
2014APR,11448522,2907010,45744,2571054,290212,239354
2014MAY,11216386,2941769,42498,2637681,261590,238516
2014JUN,14120044,3857612,54145,3427088,376379,312209
2014JUL,11232444,3116845,47686,2769651,299508,249095
2014AUG,10955367,3109022,46275,2716427,346320,265192
2014SEP,13588829,3647603,58812,3234004,354787,362632
2014OCT,11118245,3118281,52705,2745894,319682,278753
2014NOV,11723479,3479075,53992,3107495,317588,338894
2014DEC,16058794,5797464,70081,5190557,536826,593421
2015JAN,10405604,2554360,33020,2250511,270829,265058
2015FEB,10662661,2560914,37057,2282031,241826,277652
2015MAR,14004226,3480705,56153,3127885,296667,351622
2015APR,10759377,3007104,45712,2655405,305987,239075
2015MAY,11260574,3059110,46284,2712467,300359,250788
2015JUN,14035478,4022146,56677,3550081,415388,329661
2015JUL,11094317,3195297,49716,2820863,324718,271171
2015AUG,10763883,3134213,46140,2700244,387829,274959
2015SEP,13758998,3861798,57474,3391941,412383,368235
2015OCT,10964616,3110926,53684,2730203,327039,296469
2015NOV,11559226,3461868,63680,3067114,331074,339484
2015DEC,16097782,5409706,72537,4799500,537669,578958
2016JAN,10419651,2493159,39816,2175469,277874,256808
2016FEB,10795572,2395711,38191,2127036,230484,267850
2016MAR,13922128,3270070,51123,2872902,346045,312846
2016APR,10971515,2711216,40388,2376637,294191,240361
2016MAY,11327843,2884454,38019,2538746,307689,238715
2016JUN,14022016,3714897,55731,3269397,389769,293198
2016JUL,11282679,3225086,48237,2810936,365913,239629
2016AUG,11144618,3031619,47251,2598661,385707,233891
2016SEP,13822599,3694368,53514,3228554,412300,328884
2016OCT,11260523,3194674,51329,2802524,340821,273069
2016NOV,11658733,3426313,63939,3010690,351684,319300
2016DEC,16439622,5469662,83472,4821919,564271,599599
2017JAN,10332089,2494212,38559,2180035,275618,227807
2017FEB,10932439,2468347,40748,2185226,242373,228694
2017MAR,13945930,3425830,59226,3027034,339570,281841
2017APR,11607481,3009831,45910,2639589,324332,197879
2017MAY,11596827,3058303,44705,2698627,314971,203331
2017JUN,14213815,4021324,47406,3531744,442174,288562
2017JUL,11512416,3311066,45366,2905964,359736,230137
2017AUG,11257998,3220301,40075,2794692,385534,229464
2017SEP,13972783,3989278,56552,3476746,455980,311055
2017OCT,11470938,3143657,50683,2759717,333257,279803
2017NOV,11890427,3552350,58567,3151903,341880,311915
2017DEC,17021177,5559399,75036,4923335,561028,585608
2018JAN,10546632,2496293,37550,2171499,287244,240202
2018FEB,11161191,2471396,39183,2186699,245514,243135
2018MAR,14687063,3314982,47336,2957134,310512,320087
2018APR,11301984,2846998,40255,2520224,286519,221120
2018MAY,12088199,3040401,39158,2701351,299892,222065
2018JUN,14912507,3917601,47226,3474647,395728,285506
2018JUL,12139098,3300460,43766,2904720,351974,234428
2018AUG,11770848,3121934,43284,2713978,364672,243111
2018SEP,14410610,3827338,50946,3394429,381963,327390
2018OCT,11747591,3066117,46580,2722769,296768,273499
2018NOV,12169416,3460640,64615,3083682,312343,322986
2018DEC,17269052,5591306,75908,4997701,517697,628191
2019JAN,10943604,2537095,40761,2207650,288684,222131
2019FEB,11460437,2504776,42292,2213154,249330,201570
2019MAR,14792584,3442012,51650,3092640,297722,330544
2019APR,12213905,3057322,38749,2724194,294379,205250
2019MAY,12247350,2987435,40396,2648890,298149,193088
2019JUN,15170100,3940522,49250,3480678,410594,260972
2019JUL,12354853,3299644,46994,2894129,358521,200527
2019AUG,12023542,3184016,42657,2749203,392156,210256
2019SEP,14865916,3908132,48655,3430851,428626,277407
2019OCT,12099439,3169153,43157,2746539,379457,230208
2019NOV,12417183,3503666,82892,3018938,401836,302500
2019DEC,17528827,5441264,91087,4815650,534527,690189
